"ID","ACTIVE","YEAR","COUNTRY_ESP","COUNTRY_ENG","SECTOR_ESP","SECTOR_ENG","STATUS_ESP","STATUS_ENG","COUNTRY","SECTOR","STATUS"
1043,"YES",2018,"Brasil","Brazil","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",3,4,6
1044,"YES",2018,"Colombia","Colombia","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",5,7,6
1045,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",3,7,6
1046,"YES",2018,"Brasil","Brazil","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Lanzado","Launched",3,9,4
1047,"YES",2018,"Chile","Chile","Gestión de finanzas empresariales","Enterprise Financial Management","Concepto/Idea","Concepto/Idea",4,3,1
1048,"YES",2018,"Perú","Peru","Gestión de finanzas empresariales","Enterprise Financial Management","Listos para escalar","Ready to scale",15,3,5
1049,"YES",2018,"Colombia","Colombia","Gestión de finanzas empresariales","Enterprise Financial Management","Listos para escalar","Ready to scale",5,3,5
1050,"YES",2018,"Panamá","Panama","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",13,8,6
1051,"YES",2018,"Colombia","Colombia","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Listos para escalar","Ready to scale",5,9,5
1052,"YES",2018,"Brasil","Brazil","Gestión de patrimonio","Wealth Management","Crecimiento y expansión","Growth & expansion",3,5,6
1053,"YES",2018,"Argentina","Argentina","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Lanzado","Launched",1,11,4
1054,"YES",2018,"México","Mexico","Gestión de finanzas empresariales","Enterprise Financial Management","Listos para escalar","Ready to scale",11,3,5
1055,"YES",2018,"México","Mexico","Gestión de patrimonio","Wealth Management","Crecimiento y expansión","Growth & expansion",11,5,6
1056,"YES",2018,"México","Mexico","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",11,8,6
1057,"YES",2018,"Brasil","Brazil","Gestión de finanzas empresariales","Enterprise Financial Management","Crecimiento y expansión","Growth & expansion",3,3,6
1058,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Versión beta","Beta version",3,7,3
1059,"YES",2018,"México","Mexico","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",11,4,6
1060,"YES",2018,"Venezuela","Venezuela","Pagos y remesas","Payments & Remittances","Lanzado","Launched",18,7,4
1061,"YES",2018,"México","Mexico","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",11,4,6
1062,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Listos para escalar","Ready to scale",3,8,5
1063,"YES",2018,"México","Mexico","Gestión de finanzas empresariales","Enterprise Financial Management","Listos para escalar","Ready to scale",11,3,5
1064,"YES",2018,"México","Mexico","Préstamos","Lending","Listos para escalar","Ready to scale",11,8,5
1065,"YES",2018,"Colombia","Colombia","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",5,7,5
1066,"YES",2018,"Chile","Chile","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Crecimiento y expansión","Growth & expansion",4,11,6
1067,"YES",2018,"México","Mexico","Gestión de finanzas empresariales","Enterprise Financial Management","Crecimiento y expansión","Growth & expansion",11,3,6
1068,"YES",2018,"México","Mexico","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Crecimiento y expansión","Growth & expansion",11,11,6
1069,"YES",2018,"Ecuador","Ecuador","Gestión de finanzas empresariales","Enterprise Financial Management","Versión beta","Beta version",7,3,3
1070,"YES",2018,"Argentina","Argentina","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Demo/Prototipo","Demo/Prototipo",1,9,2
1071,"YES",2018,"Paraguay","Paraguay","Pagos y remesas","Payments & Remittances","Lanzado","Launched",14,7,4
1072,"YES",2018,"Brasil","Brazil","Gestión de finanzas empresariales","Enterprise Financial Management","Crecimiento y expansión","Growth & expansion",3,3,6
1073,"YES",2018,"Brasil","Brazil","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Versión beta","Beta version",3,9,3
1074,"YES",2018,"Perú","Peru","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",15,7,6
1075,"YES",2018,"Brasil","Brazil","Financiamiento colectivo","Crowdfunding","Lanzado","Launched",3,2,4
1076,"YES",2018,"Uruguay","Uruguay","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Crecimiento y expansión","Growth & expansion",17,11,6
1077,"YES",2018,"Brasil","Brazil","Gestión de patrimonio","Wealth Management","Listos para escalar","Ready to scale",3,5,5
1078,"YES",2018,"Argentina","Argentina","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",1,8,6
1079,"YES",2018,"Colombia","Colombia","Gestión de finanzas empresariales","Enterprise Financial Management","Listos para escalar","Ready to scale",5,3,5
1080,"YES",2018,"México","Mexico","Seguros","Insurance","Crecimiento y expansión","Growth & expansion",11,10,6
1081,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Concepto/Idea","Concepto/Idea",3,8,1
1082,"YES",2018,"Chile","Chile","Financiamiento colectivo","Crowdfunding","Listos para escalar","Ready to scale",4,2,5
1083,"YES",2018,"Perú","Peru","Préstamos","Lending","Demo/Prototipo","Demo/Prototipo",15,8,2
1084,"YES",2018,"Brasil","Brazil","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Listos para escalar","Ready to scale",3,6,5
1085,"YES",2018,"Colombia","Colombia","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",5,4,6
1086,"YES",2018,"México","Mexico","Préstamos","Lending","Lanzado","Launched",11,8,4
1087,"YES",2018,"Costa Rica","Costa Rica","Digital Banks","Digital Banks","Demo/Prototipo","Demo/Prototipo",6,1,2
1088,"YES",2018,"México","Mexico","Financiamiento colectivo","Crowdfunding","Crecimiento y expansión","Growth & expansion",11,2,6
1089,"YES",2018,"México","Mexico","Digital Banks","Digital Banks","Crecimiento y expansión","Growth & expansion",11,1,6
1090,"YES",2018,"Brasil","Brazil","Gestión de finanzas empresariales","Enterprise Financial Management","Versión beta","Beta version",3,3,3
1091,"YES",2018,"Colombia","Colombia","Financiamiento colectivo","Crowdfunding","Versión beta","Beta version",5,2,3
1092,"YES",2018,"Argentina","Argentina","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",1,8,6
1093,"YES",2018,"Ecuador","Ecuador","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Listos para escalar","Ready to scale",7,6,5
1094,"YES",2018,"Argentina","Argentina","Gestión de finanzas empresariales","Enterprise Financial Management","Demo/Prototipo","Demo/Prototipo",1,3,2
1095,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",11,7,6
1096,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Concepto/Idea","Concepto/Idea",1,7,1
1097,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",11,7,5
1098,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",1,7,6
1099,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Versión beta","Beta version",3,7,3
1100,"YES",2018,"Perú","Peru","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",15,7,5
1101,"YES",2018,"México","Mexico","Gestión de finanzas empresariales","Enterprise Financial Management","Listos para escalar","Ready to scale",11,3,5
1102,"YES",2018,"Chile","Chile","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Lanzado","Launched",4,6,4
1103,"YES",2018,"México","Mexico","Préstamos","Lending","Versión beta","Beta version",11,8,3
1104,"YES",2018,"Brasil","Brazil","Seguros","Insurance","Crecimiento y expansión","Growth & expansion",3,10,6
1105,"YES",2018,"México","Mexico","Préstamos","Lending","Listos para escalar","Ready to scale",11,8,5
1106,"YES",2018,"Brasil","Brazil","Gestión de patrimonio","Wealth Management","Crecimiento y expansión","Growth & expansion",3,5,6
1107,"YES",2018,"México","Mexico","Préstamos","Lending","Versión beta","Beta version",11,8,3
1108,"YES",2018,"México","Mexico","Financiamiento colectivo","Crowdfunding","Versión beta","Beta version",11,2,3
1109,"YES",2018,"México","Mexico","Gestión de finanzas personales","Personal Financial Management","Listos para escalar","Ready to scale",11,4,5
1110,"YES",2018,"México","Mexico","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",11,4,6
1111,"YES",2018,"México","Mexico","Gestión de finanzas empresariales","Enterprise Financial Management","Crecimiento y expansión","Growth & expansion",11,3,6
1112,"YES",2018,"Perú","Peru","Gestión de patrimonio","Wealth Management","Lanzado","Launched",15,5,4
1113,"YES",2018,"Brasil","Brazil","Gestión de finanzas empresariales","Enterprise Financial Management","Listos para escalar","Ready to scale",3,3,5
1114,"YES",2018,"México","Mexico","Préstamos","Lending","Versión beta","Beta version",11,8,3
1115,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",3,7,6
1116,"YES",2018,"Costa Rica","Costa Rica","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",6,7,5
1117,"YES",2018,"Colombia","Colombia","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",5,8,6
1118,"YES",2018,"Colombia","Colombia","Pagos y remesas","Payments & Remittances","Versión beta","Beta version",5,7,3
1119,"YES",2018,"Argentina","Argentina","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",1,4,6
1120,"YES",2018,"Brasil","Brazil","Digital Banks","Digital Banks","Lanzado","Launched",3,1,4
1121,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",1,7,5
1122,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",1,7,6
1123,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",1,7,5
1124,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",1,7,6
1125,"YES",2018,"Argentina","Argentina","Gestión de patrimonio","Wealth Management","Demo/Prototipo","Demo/Prototipo",1,5,2
1126,"YES",2018,"Argentina","Argentina","Gestión de patrimonio","Wealth Management","Listos para escalar","Ready to scale",1,5,5
1127,"YES",2018,"Argentina","Argentina","Gestión de patrimonio","Wealth Management","Crecimiento y expansión","Growth & expansion",1,5,6
1128,"YES",2018,"Argentina","Argentina","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",1,8,6
1129,"YES",2018,"Argentina","Argentina","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Crecimiento y expansión","Growth & expansion",1,6,6
1130,"YES",2018,"Argentina","Argentina","Seguros","Insurance","Listos para escalar","Ready to scale",1,10,5
1131,"YES",2018,"Argentina","Argentina","Gestión de finanzas empresariales","Enterprise Financial Management","Listos para escalar","Ready to scale",1,3,5
1132,"YES",2018,"Argentina","Argentina","Gestión de finanzas empresariales","Enterprise Financial Management","Lanzado","Launched",1,3,4
1133,"YES",2018,"Argentina","Argentina","Gestión de finanzas empresariales","Enterprise Financial Management","Demo/Prototipo","Demo/Prototipo",1,3,2
1134,"YES",2018,"Argentina","Argentina","Gestión de finanzas empresariales","Enterprise Financial Management","Crecimiento y expansión","Growth & expansion",1,3,6
1135,"YES",2018,"Argentina","Argentina","Gestión de finanzas empresariales","Enterprise Financial Management","Versión beta","Beta version",1,3,3
1136,"YES",2018,"Argentina","Argentina","Gestión de finanzas empresariales","Enterprise Financial Management","Listos para escalar","Ready to scale",1,3,5
1137,"YES",2018,"Argentina","Argentina","Financiamiento colectivo","Crowdfunding","Lanzado","Launched",1,2,4
1138,"YES",2018,"Argentina","Argentina","Gestión de finanzas empresariales","Enterprise Financial Management","Lanzado","Launched",1,3,4
1139,"YES",2018,"Argentina","Argentina","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",1,8,6
1140,"YES",2018,"Argentina","Argentina","Préstamos","Lending","Listos para escalar","Ready to scale",1,8,5
1141,"YES",2018,"Argentina","Argentina","Financiamiento colectivo","Crowdfunding","Crecimiento y expansión","Growth & expansion",1,2,6
1142,"YES",2018,"Argentina","Argentina","Financiamiento colectivo","Crowdfunding","Listos para escalar","Ready to scale",1,2,5
1143,"YES",2018,"Argentina","Argentina","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",1,8,6
1144,"YES",2018,"Argentina","Argentina","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Demo/Prototipo","Demo/Prototipo",1,11,2
1145,"YES",2018,"Argentina","Argentina","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Listos para escalar","Ready to scale",1,9,5
1146,"YES",2018,"Argentina","Argentina","Gestión de finanzas empresariales","Enterprise Financial Management","Listos para escalar","Ready to scale",1,3,5
1147,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",1,7,5
1148,"YES",2018,"Argentina","Argentina","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Listos para escalar","Ready to scale",1,6,5
1149,"YES",2018,"Argentina","Argentina","Gestión de patrimonio","Wealth Management","Listos para escalar","Ready to scale",1,5,5
1150,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",1,7,5
1151,"YES",2018,"Panamá","Panama","Financiamiento colectivo","Crowdfunding","Listos para escalar","Ready to scale",13,2,5
1152,"YES",2018,"Panamá","Panama","Préstamos","Lending","Versión beta","Beta version",13,8,3
1153,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",3,7,5
1154,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",3,7,6
1155,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Lanzado","Launched",3,8,4
1156,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Listos para escalar","Ready to scale",3,8,5
1157,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Listos para escalar","Ready to scale",3,8,5
1158,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Versión beta","Beta version",3,8,3
1159,"YES",2018,"Brasil","Brazil","Seguros","Insurance","Crecimiento y expansión","Growth & expansion",3,10,6
1160,"YES",2018,"Brasil","Brazil","Seguros","Insurance","Lanzado","Launched",3,10,4
1161,"YES",2018,"Brasil","Brazil","Gestión de patrimonio","Wealth Management","Lanzado","Launched",3,5,4
1162,"YES",2018,"Brasil","Brazil","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",3,4,6
1163,"YES",2018,"Brasil","Brazil","Digital Banks","Digital Banks","Listos para escalar","Ready to scale",3,1,5
1164,"YES",2018,"Brasil","Brazil","Digital Banks","Digital Banks","Lanzado","Launched",3,1,4
1165,"YES",2018,"Brasil","Brazil","Gestión de finanzas empresariales","Enterprise Financial Management","Lanzado","Launched",3,3,4
1166,"YES",2018,"Brasil","Brazil","Gestión de finanzas empresariales","Enterprise Financial Management","Versión beta","Beta version",3,3,3
1167,"NO",2017,"X","X","X","X","X","X",19,1,1
1168,"NO",2017,"X","X","X","X","X","X",19,2,2
1169,"NO",2017,"X","X","X","X","X","X",19,3,3
1170,"NO",2017,"X","X","X","X","X","X",19,4,4
1171,"NO",2017,"X","X","X","X","X","X",19,5,5
1172,"NO",2017,"X","X","X","X","X","X",19,6,6
1173,"NO",2017,"X","X","X","X","X","X",19,7,1
1174,"NO",2017,"X","X","X","X","X","X",19,8,2
1175,"NO",2017,"X","X","X","X","X","X",19,9,3
1176,"NO",2017,"X","X","X","X","X","X",19,10,4
1177,"NO",2017,"X","X","X","X","X","X",19,11,5
1178,"NO",2017,"X","X","X","X","X","X",19,1,6
1179,"NO",2017,"X","X","X","X","X","X",19,2,1
1180,"NO",2017,"X","X","X","X","X","X",19,3,2
1181,"NO",2017,"X","X","X","X","X","X",19,4,3
1182,"NO",2017,"X","X","X","X","X","X",19,5,4
1183,"NO",2017,"X","X","X","X","X","X",19,6,5
1184,"NO",2017,"X","X","X","X","X","X",19,7,6
1185,"NO",2017,"X","X","X","X","X","X",19,8,1
1186,"NO",2017,"X","X","X","X","X","X",19,9,2
1187,"NO",2017,"X","X","X","X","X","X",19,10,3
1188,"NO",2017,"X","X","X","X","X","X",19,11,4
1189,"NO",2017,"X","X","X","X","X","X",19,1,5
1190,"NO",2017,"X","X","X","X","X","X",19,2,6
1191,"NO",2017,"X","X","X","X","X","X",19,3,1
1192,"NO",2017,"X","X","X","X","X","X",19,4,2
1193,"NO",2017,"X","X","X","X","X","X",19,5,3
1194,"NO",2017,"X","X","X","X","X","X",19,6,4
1195,"NO",2017,"X","X","X","X","X","X",19,7,5
1196,"NO",2017,"X","X","X","X","X","X",19,8,6
1197,"NO",2017,"X","X","X","X","X","X",19,9,1
1198,"NO",2017,"X","X","X","X","X","X",19,10,2
1199,"NO",2017,"X","X","X","X","X","X",19,11,3
1200,"NO",2017,"X","X","X","X","X","X",19,1,4
1201,"NO",2017,"X","X","X","X","X","X",19,2,5
1202,"NO",2017,"X","X","X","X","X","X",19,3,6
1203,"NO",2017,"X","X","X","X","X","X",19,4,1
1204,"NO",2017,"X","X","X","X","X","X",19,5,2
1205,"NO",2017,"X","X","X","X","X","X",19,6,3
1206,"NO",2017,"X","X","X","X","X","X",19,7,4
1207,"NO",2017,"X","X","X","X","X","X",19,8,5
1208,"NO",2017,"X","X","X","X","X","X",19,9,6
1209,"NO",2017,"X","X","X","X","X","X",19,10,1
1210,"NO",2017,"X","X","X","X","X","X",19,11,2
1211,"NO",2017,"X","X","X","X","X","X",19,1,3
1212,"NO",2017,"X","X","X","X","X","X",19,2,4
1213,"NO",2017,"X","X","X","X","X","X",19,3,5
1214,"NO",2017,"X","X","X","X","X","X",19,4,6
1215,"NO",2017,"X","X","X","X","X","X",19,5,1
1216,"NO",2017,"X","X","X","X","X","X",19,6,2
1217,"NO",2017,"X","X","X","X","X","X",19,7,3
1218,"NO",2017,"X","X","X","X","X","X",19,8,4
1219,"NO",2017,"X","X","X","X","X","X",19,9,5
1220,"NO",2017,"X","X","X","X","X","X",19,10,6
1221,"NO",2017,"X","X","X","X","X","X",19,11,1
1222,"NO",2017,"X","X","X","X","X","X",19,1,2
1223,"NO",2017,"X","X","X","X","X","X",19,2,3
1224,"NO",2017,"X","X","X","X","X","X",19,3,4
1225,"NO",2017,"X","X","X","X","X","X",19,4,5
1226,"NO",2017,"X","X","X","X","X","X",19,5,6
1227,"NO",2017,"X","X","X","X","X","X",19,6,1
1228,"NO",2017,"X","X","X","X","X","X",19,7,2
1229,"NO",2017,"X","X","X","X","X","X",19,8,3
1230,"NO",2017,"X","X","X","X","X","X",19,9,4
1231,"NO",2017,"X","X","X","X","X","X",19,10,5
1232,"NO",2017,"X","X","X","X","X","X",19,11,6
1233,"NO",2017,"X","X","X","X","X","X",19,1,1
1234,"NO",2017,"X","X","X","X","X","X",19,2,2
1235,"NO",2017,"X","X","X","X","X","X",19,3,3
1236,"NO",2017,"X","X","X","X","X","X",19,4,4
1237,"NO",2017,"X","X","X","X","X","X",19,5,5
1238,"NO",2017,"X","X","X","X","X","X",19,6,6
1239,"NO",2017,"X","X","X","X","X","X",19,7,1
1240,"NO",2017,"X","X","X","X","X","X",19,8,2
1241,"NO",2017,"X","X","X","X","X","X",19,9,3
1242,"NO",2017,"X","X","X","X","X","X",19,10,4
1243,"NO",2017,"X","X","X","X","X","X",19,11,5
1244,"NO",2017,"X","X","X","X","X","X",19,1,6
1245,"NO",2017,"X","X","X","X","X","X",19,2,1
1246,"NO",2017,"X","X","X","X","X","X",19,3,2
1247,"NO",2017,"X","X","X","X","X","X",19,4,3
1248,"NO",2017,"X","X","X","X","X","X",19,5,4
1249,"NO",2017,"X","X","X","X","X","X",19,6,5
1250,"NO",2017,"X","X","X","X","X","X",19,7,6
1251,"NO",2017,"X","X","X","X","X","X",19,8,1
