"ID","ACTIVE","YEAR","COUNTRY_ESP","COUNTRY_ENG","SECTOR_ESP","SECTOR_ENG","STATUS_ESP","STATUS_ENG","COUNTRY","SECTOR","STATUS"
943,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Demo/Prototipo","Demo/Prototipo",1,7,2
944,"YES",2018,"Chile","Chile","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",4,7,5
945,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Lanzado","Launched",11,7,4
946,"YES",2018,"Argentina","Argentina","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Lanzado","Launched",1,11,4
947,"YES",2018,"México","Mexico","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",11,8,6
948,"YES",2018,"Brasil","Brazil","Gestión de finanzas empresariales","Enterprise Financial Management","Lanzado","Launched",3,3,4
949,"YES",2018,"Brasil","Brazil","Gestión de patrimonio","Wealth Management","Versión beta","Beta version",3,5,3
950,"YES",2018,"Chile","Chile","Gestión de finanzas empresariales","Enterprise Financial Management","Listos para escalar","Ready to scale",4,3,5
951,"YES",2018,"Brasil","Brazil","Seguros","Insurance","Versión beta","Beta version",3,10,3
952,"YES",2018,"Brasil","Brazil","Gestión de finanzas empresariales","Enterprise Financial Management","Lanzado","Launched",3,3,4
953,"YES",2018,"Costa Rica","Costa Rica","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Demo/Prototipo","Demo/Prototipo",6,9,2
954,"YES",2018,"Brasil","Brazil","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Lanzado","Launched",3,6,4
955,"YES",2018,"Argentina","Argentina","Seguros","Insurance","Crecimiento y expansión","Growth & expansion",1,10,6
956,"YES",2018,"Brasil","Brazil","Digital Banks","Digital Banks","Listos para escalar","Ready to scale",3,1,5
957,"YES",2018,"Uruguay","Uruguay","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",17,8,6
958,"YES",2018,"Perú","Peru","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Lanzado","Launched",15,6,4
959,"YES",2018,"Brasil","Brazil","Digital Banks","Digital Banks","Lanzado","Launched",3,1,4
960,"YES",2018,"Brasil","Brazil","Financiamiento colectivo","Crowdfunding","Versión beta","Beta version",3,2,3
961,"YES",2018,"Brasil","Brazil","Financiamiento colectivo","Crowdfunding","Lanzado","Launched",3,2,4
962,"YES",2018,"Chile","Chile","Gestión de finanzas personales","Personal Financial Management","Concepto/Idea","Concepto/Idea",4,4,1
963,"YES",2018,"Perú","Peru","Préstamos","Lending","Versión beta","Beta version",15,8,3
964,"YES",2018,"Colombia","Colombia","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Crecimiento y expansión","Growth & expansion",5,11,6
965,"YES",2018,"Brasil","Brazil","Seguros","Insurance","Crecimiento y expansión","Growth & expansion",3,10,6
